project_id,budget_k,actual_cost_k,estimated_duration_m,actual_duration_m,team_size,complexity,customer_satisfaction,on_time,on_budget,overall_success
50,133.18,133.81,15.8,13.25,4,5,2,1,0,0
51,486.31,572.98,7.42,5.92,19,6,2,1,0,0
52,398.81,422.35,8.78,6.93,16,3,3,1,0,0
53,472.77,483.03,15.77,9.67,15,8,1,1,0,0
54,452.67,472.69,7.75,5.88,11,1,3,1,0,0
55,319.05,327.04,5.54,4.36,17,6,1,1,0,0
56,464.84,411.86,11.35,12.9,17,4,3,0,1,0
57,89.82,77.77,17.04,16.48,13,1,4,1,1,1
58,138.19,164.27,13.44,11.22,18,7,2,1,0,0
59,70.35,71.65,11.55,16.89,19,9,1,0,0,0
60,196.4,198.36,4.46,3.87,6,4,2,1,0,0
61,224.9,222.88,12.23,15.08,3,4,1,0,1,0
62,172.11,185.55,17.85,23.64,10,6,2,0,0,0
63,422.93,530.3,5.1,3.5,19,3,3,1,0,0
64,210.54,221.57,10.77,10.93,5,6,1,0,0,0
65,176.42,166.05,16.16,14.49,17,7,3,1,1,1
66,294.21,290.29,14.11,12.42,17,10,3,1,1,1
67,113.42,125.56,13.46,14.95,16,10,1,0,0,0
68,410.99,387.04,13.54,11.85,16,3,3,1,1,1
69,83.55,90.67,8.39,7.56,4,7,3,1,0,0
70,494.1,379.43,7.4,7.15,15,3,4,1,1,1
71,397.51,388.37,15.14,14.01,16,2,4,1,1,1
72,139.42,148.18,15.15,11.6,9,10,3,1,0,0
73,52.48,59.15,16.01,18.55,5,4,2,0,0,0
74,416.96,382.83,16.7,20.2,17,8,2,0,1,0
75,368.09,312.77,10.67,11.4,16,9,2,0,1,0
76,378.05,368.2,10.52,9.73,13,7,3,1,1,1
77,397.07,352.38,14.97,12.86,17,1,3,1,1,1
78,83.32,82.08,12.75,10.96,15,3,4,1,1,1
79,211.31,211.17,13.53,19.91,20,9,3,0,1,0
80,102.14,88.67,14.94,17.74,8,1,3,0,1,0
81,438.4,473.66,16.35,13.6,5,9,1,1,0,0
82,330.48,325.29,8.07,8.34,17,8,2,0,1,0
83,198.9,220.39,8.63,8.01,7,1,2,1,0,0
84,78.6,64.1,4.41,4.92,12,6,3,0,1,0
85,189.94,170.62,11.67,12.94,9,5,2,0,1,0
86,196.33,206.48,3.54,4.31,19,6,1,0,0,0
87,378.32,348.09,9.98,8.29,9,10,4,1,1,1
88,336.9,331.36,11.14,11.37,14,5,1,0,1,0
89,449.25,449.28,7.3,4.75,19,6,1,1,0,0
90,262.5,266.65,11.86,8.88,15,5,1,1,0,0
91,103.82,96.78,3.46,4.07,6,5,3,0,1,0
92,370.96,376.5,3.56,2.88,12,4,2,1,0,0
93,392.35,361.65,15.34,12.76,5,3,4,1,1,1
94,302.57,322.98,8.4,8.39,11,3,3,1,0,0
95,396.94,392.38,4.91,5.59,15,4,2,0,1,0
96,272.21,276.43,10.83,8.54,20,9,1,1,0,0
97,285.23,358.53,14.55,4.42,17,2,1,1,0,0
98,242.39,215.56,6.24,5.15,6,9,4,1,1,1
99,61.44,69.97,12.34,15.32,17,1,1,0,0,0
100,98.55,72.34,4.28,4.57,4,1,3,0,1,0
101,64.14,50.81,3.78,4.77,17,5,3,0,1,0
102,336.38,294.65,10.97,8.49,10,6,3,1,1,1
103,191.46,168.92,11.11,7.47,10,6,3,1,1,1
104,278.86,284.54,12.56,13.72,19,3,1,0,0,0
105,458.4,471.69,13.89,14.56,14,7,2,0,0,0
106,162.18,158.05,17.64,18.72,12,9,2,0,1,0
107,234.67,231.16,10.74,12.75,11,10,1,0,1,0
108,390.0,410.58,7.84,8.51,7,8,1,0,0,0
109,152.96,165.7,14.93,16.14,8,6,2,0,0,0
110,84.64,73.41,7.06,8.07,4,8,3,0,1,0
111,180.39,173.86,9.58,10.55,15,5,2,0,1,0
112,122.55,121.7,4.18,4.89,8,8,3,0,1,0
113,468.36,491.09,3.38,4.06,7,10,2,0,0,0
114,413.65,381.69,17.44,22.78,3,4,1,0,1,0
115,335.03,332.04,15.54,13.52,8,10,2,1,1,1
116,442.16,443.48,13.44,14.73,8,8,1,0,0,0
117,411.65,382.65,9.13,8.46,18,10,4,1,1,1
118,133.96,124.2,5.6,4.67,6,2,4,1,1,1
119,451.65,456.11,5.35,4.61,13,5,1,1,0,0
120,292.7,288.89,6.75,7.42,11,9,3,0,1,0
121,413.35,434.04,11.24,12.18,5,4,1,0,0,0
122,453.24,405.5,13.72,14.82,10,6,2,0,1,0
123,193.1,186.33,12.9,12.32,7,1,2,1,1,1
124,99.52,97.24,7.2,7.2,6,9,3,0,1,0
125,152.57,164.99,17.32,20.16,8,1,1,0,0,0
126,242.2,219.42,14.07,9.88,4,5,2,1,1,1
127,418.11,427.92,11.32,11.37,13,4,1,0,0,0
128,437.33,448.38,12.18,12.39,6,3,1,0,0,0
129,53.13,61.88,9.29,10.69,17,6,1,0,0,0
130,279.84,251.65,6.72,4.9,8,2,2,1,1,1
131,237.83,222.2,8.34,10.83,19,3,3,0,1,0
132,149.95,135.89,14.37,14.98,8,5,1,0,1,0
133,103.94,86.58,3.22,3.39,4,9,2,0,1,0
134,201.93,237.56,4.74,4.36,17,2,1,1,0,0
135,474.31,415.42,3.69,4.09,13,10,2,0,1,0
136,195.44,179.49,3.61,3.65,10,8,2,0,1,0
137,283.46,320.75,15.83,19.66,15,2,2,0,0,0
138,366.36,302.13,13.55,9.65,14,5,3,1,1,1
139,213.63,229.79,10.11,10.47,7,7,1,0,0,0
140,487.3,418.44,4.47,4.83,8,8,3,0,1,0
141,483.1,543.33,10.37,9.99,6,1,2,1,0,0
142,163.3,127.87,10.1,9.28,3,6,4,1,1,1
143,273.76,225.76,5.6,5.19,19,1,4,1,1,1
144,185.4,175.29,9.51,9.84,14,2,2,0,1,0
145,178.18,195.49,8.98,5.73,17,1,2,1,0,0
146,66.6,66.39,12.24,14.6,3,5,1,0,1,0
147,324.3,313.42,12.53,11.32,16,10,4,1,1,1
148,276.21,313.38,3.68,3.77,8,9,1,0,0,0
149,73.17,88.93,8.62,9.25,7,6,1,0,0,0
150,175.39,187.18,12.39,11.09,13,1,1,1,0,0
151,458.72,430.15,10.55,10.27,6,1,4,1,1,1
152,157.8,151.2,15.85,9.4,15,2,2,1,1,1
153,115.2,100.36,12.88,14.77,13,9,3,0,1,0
154,270.25,272.98,5.44,6.62,5,3,1,0,0,0
155,493.54,413.12,4.06,2.68,3,1,3,1,1,1
156,158.92,167.7,12.64,11.61,8,5,3,1,0,0
157,352.46,423.15,3.4,2.56,20,7,2,1,0,0
158,392.73,420.91,11.79,11.37,12,6,2,1,0,0
159,156.94,149.57,17.1,19.32,7,1,2,0,1,0
160,377.7,397.6,11.63,13.93,12,5,1,0,0,0
161,215.5,250.43,8.82,10.8,14,5,2,0,0,0
162,334.54,387.08,12.65,15.96,4,6,1,0,0,0
163,335.09,301.45,9.87,9.43,15,3,2,1,1,1
164,291.1,305.95,11.18,8.62,10,5,2,1,0,0
165,90.63,89.2,17.12,16.73,4,7,2,1,1,1
166,425.89,460.24,8.79,9.91,3,5,1,0,0,0
167,194.35,201.81,17.42,13.14,7,5,2,1,0,0
168,133.93,102.19,16.58,22.09,11,5,2,0,1,0
169,68.35,65.97,5.94,7.0,19,10,1,0,1,0
170,315.9,322.17,4.04,3.87,11,10,3,1,0,0
171,354.9,304.0,4.51,3.87,13,3,3,1,1,1
172,57.46,60.8,3.27,2.84,17,1,3,1,0,0
173,280.44,237.7,4.42,4.48,8,5,1,0,1,0
174,151.92,139.79,13.25,12.64,5,9,3,1,1,1
175,340.33,385.98,4.07,4.84,19,1,2,0,0,0
176,128.46,117.11,7.78,7.25,7,3,3,1,1,1
177,360.92,381.64,15.67,17.26,14,4,1,0,0,0
178,224.03,184.75,3.35,3.33,20,1,4,1,1,1
179,471.53,569.67,15.22,16.04,16,1,1,0,0,0
180,111.88,108.48,7.23,6.9,13,8,2,1,1,1
181,203.48,205.42,4.77,5.45,11,2,1,0,0,0
182,101.06,102.87,13.45,15.39,4,8,2,0,0,0
183,466.11,494.43,12.43,13.58,14,7,1,0,0,0
184,444.8,377.23,16.16,18.13,5,10,1,0,1,0
185,166.07,165.99,14.03,11.38,5,10,4,1,1,1
186,346.99,324.13,15.05,16.03,3,2,1,0,1,0
187,417.75,347.17,7.23,9.04,10,6,1,0,1,0
188,299.84,329.44,5.66,6.22,10,6,2,0,0,0
189,288.34,278.19,14.26,11.32,13,3,4,1,1,1
190,158.83,162.69,15.1,14.95,11,2,3,1,0,0
191,91.9,93.55,17.86,19.2,7,1,2,0,0,0
192,453.75,438.55,9.19,7.8,16,6,3,1,1,1
193,455.19,545.09,8.58,6.25,5,5,3,1,0,0
194,334.9,333.31,14.65,13.72,7,9,3,1,1,1
195,202.56,171.0,8.11,6.91,7,1,3,1,1,1
196,207.14,198.85,16.96,16.91,16,7,3,1,1,1
197,376.68,395.5,15.88,10.82,6,5,1,1,0,0
198,453.7,477.86,9.43,10.5,15,5,1,0,0,0
199,449.19,400.33,14.26,12.45,12,2,3,1,1,1
200,400.94,438.21,14.32,17.17,20,3,1,0,0,0
